id,date,value
AZ,2021-01-19,297385
AZ,2021-01-20,319984
AZ,2021-01-21,347013
AZ,2021-01-22,380764
AZ,2021-01-23,412320
AZ,2021-01-25,458461
AZ,2021-01-26,486338
AZ,2021-01-27,518125
AZ,2021-01-28,554760
AZ,2021-01-29,592288
AZ,2021-01-30,629845
AZ,2021-02-01,659728
AZ,2021-02-02,702664
AZ,2021-02-03,736845
AZ,2021-02-04,766330
AZ,2021-02-06,861886
AZ,2021-02-09,954290
AZ,2021-02-10,996699
AZ,2021-02-11,1045644
AZ,2021-02-12,1096126
AZ,2021-02-13,1147089
AZ,2021-02-14,1191338
AZ,2021-02-15,1217126
AZ,2021-02-16,1227271
AZ,2021-02-17,1291053
AZ,2021-02-18,1339829
AZ,2021-02-19,1387118
AZ,2021-02-20,1425295
AZ,2021-02-21,1469676
AZ,2021-02-22,1506572
AZ,2021-02-23,1525794
AZ,2021-02-24,1555942
AZ,2021-02-25,1607544
AZ,2021-02-26,1671294
AZ,2021-02-27,1728239
AZ,2021-02-28,1792447
AZ,2021-03-01,1849259
AZ,2021-03-02,1889742
AZ,2021-03-03,1930999
AZ,2021-03-04,1979929
AZ,2021-03-05,2038623
AZ,2021-03-06,2043739
AZ,2021-03-07,2162602
AZ,2021-03-08,2215219
AZ,2021-03-09,2245854
AZ,2021-03-10,2293559
AZ,2021-03-11,2350374
AZ,2021-03-12,2418267
AZ,2021-03-13,2484603
AZ,2021-03-14,2557630
AZ,2021-03-15,2605621
AZ,2021-03-16,2655283
AZ,2021-03-17,2697523
AZ,2021-03-18,2755436
AZ,2021-03-19,2760907
AZ,2021-03-20,2825939
AZ,2021-03-21,2893024
AZ,2021-03-22,2942907
AZ,2021-03-23,2970577
CA,2020-12-21,70258
CA,2020-12-23,128210
CA,2020-12-28,300000
CA,2020-12-30,300696
CA,2020-12-31,335983
CA,2021-01-02,412076
CA,2021-01-03,414684
CA,2021-01-04,454306
CA,2021-01-05,459564
CA,2021-01-06,488515
CA,2021-01-07,586379
CA,2021-01-09,734405
CA,2021-01-11,782638
CA,2021-01-12,816301
CA,2021-01-13,891489
CA,2021-01-14,975293
CA,2021-01-15,1072959
CA,2021-01-16,1188703
CA,2021-01-17,1303518
CA,2021-01-19,1393224
CA,2021-01-20,1532329
CA,2021-01-21,1633875
CA,2021-01-22,1803679
CA,2021-01-23,2008220
CA,2021-01-24,2321811
CA,2021-01-25,2437504
CA,2021-01-26,2587736
CA,2021-01-27,2730262
CA,2021-01-28,2893493
CA,2021-01-29,3078250
CA,2021-01-30,3266914
CA,2021-01-31,3434295
CA,2021-02-01,3523111
CA,2021-02-02,3649440
CA,2021-02-03,3792797
CA,2021-02-04,3984752
CA,2021-02-05,4199626
CA,2021-02-06,4453271
CA,2021-02-07,4650637
CA,2021-02-08,4746539
CA,2021-02-09,4914630
CA,2021-02-10,5089483
CA,2021-02-11,5291493
CA,2021-02-12,5511429
CA,2021-02-13,5768684
CA,2021-02-14,5981552
CA,2021-02-15,6153109
CA,2021-02-16,6262781
CA,2021-02-17,6435184
CA,2021-02-18,6699137
CA,2021-02-19,6929954
CA,2021-02-20,7201713
CA,2021-02-21,7453468
CA,2021-02-22,7604725
CA,2021-02-23,7728120
CA,2021-02-24,7876011
CA,2021-02-25,8064121
CA,2021-02-26,8310945
CA,2021-02-27,8566470
CA,2021-02-28,8821044
CA,2021-03-01,9106077
CA,2021-03-02,9497125
CA,2021-03-03,9731169
CA,2021-03-04,9860209
CA,2021-03-05,10071476
CA,2021-03-06,10415023
CA,2021-03-07,10634752
CA,2021-03-08,10805474
CA,2021-03-09,10925581
CA,2021-03-10,11062505
CA,2021-03-11,11220508
CA,2021-03-12,11428034
CA,2021-03-13,11881857
CA,2021-03-14,11883375
CA,2021-03-15,12306608
CA,2021-03-16,12686451
CA,2021-03-17,13161027
CA,2021-03-18,13563094
CA,2021-03-19,13882984
CA,2021-03-20,14276125
CA,2021-03-21,14708175
CA,2021-03-22,15050673
CA,2021-03-23,15349039
CO,2020-12-21,33934
CO,2020-12-22,38666
CO,2020-12-23,43749
CO,2020-12-26,63170
CO,2020-12-27,63233
CO,2020-12-28,65282
CO,2020-12-29,73867
CO,2020-12-30,82342
CO,2021-01-01,94297
CO,2021-01-02,104622
CO,2021-01-03,105842
CO,2021-01-04,112510
CO,2021-01-05,114555
CO,2021-01-06,122347
CO,2021-01-07,130445
CO,2021-01-08,145164
CO,2021-01-09,200877
CO,2021-01-11,218185
CO,2021-01-12,224428
CO,2021-01-13,239665
CO,2021-01-14,254706
CO,2021-01-15,272233
CO,2021-01-16,287714
CO,2021-01-17,308441
CO,2021-01-18,323037
CO,2021-01-19,328533
CO,2021-01-20,340438
CO,2021-01-21,353194
CO,2021-01-22,377283
CO,2021-01-23,403896
CO,2021-01-24,434496
CO,2021-01-25,447880
CO,2021-01-26,457746
CO,2021-01-27,474527
CO,2021-01-28,495706
CO,2021-01-29,521879
CO,2021-01-30,545356
CO,2021-01-31,569234
CO,2021-02-01,589787
CO,2021-02-02,601347
CO,2021-02-03,617125
CO,2021-02-04,638923
CO,2021-02-05,661703
CO,2021-02-06,694860
CO,2021-02-07,729895
CO,2021-02-08,751960
CO,2021-02-09,757560
CO,2021-02-10,787041
CO,2021-02-11,815108
CO,2021-02-12,844620
CO,2021-02-13,885581
CO,2021-02-14,926807
CO,2021-02-15,970215
CO,2021-02-16,1000597
CO,2021-02-17,1024167
CO,2021-02-18,1053041
CO,2021-02-19,1083308
CO,2021-02-20,1167895
CO,2021-02-21,1202161
CO,2021-02-22,1231699
CO,2021-02-23,1233466
CO,2021-02-24,1268302
CO,2021-02-25,1294236
CO,2021-02-26,1323183
CO,2021-02-27,1324715
CO,2021-02-28,1371577
CO,2021-03-01,1412910
CO,2021-03-02,1428854
CO,2021-03-03,1462053
CO,2021-03-04,1494910
CO,2021-03-05,1528864
CO,2021-03-06,1580162
CO,2021-03-07,1626499
CO,2021-03-08,1627458
CO,2021-03-09,1650716
CO,2021-03-10,1694476
CO,2021-03-11,1764066
CO,2021-03-12,1817050
CO,2021-03-13,1878538
CO,2021-03-14,1878639
CO,2021-03-15,1933717
CO,2021-03-16,1948333
CO,2021-03-17,1987533
CO,2021-03-18,2029213
CO,2021-03-19,2080284
CO,2021-03-20,2188145
CO,2021-03-21,2250372
CO,2021-03-22,2276660
CO,2021-03-23,2310425
CT,2020-12-21,7761
CT,2020-12-23,16487
CT,2020-12-28,36276
CT,2020-12-30,54727
CT,2021-01-02,72729
CT,2021-01-04,75946
CT,2021-01-05,81970
CT,2021-01-06,93056
CT,2021-01-07,101734
CT,2021-01-08,116277
CT,2021-01-11,147174
CT,2021-01-12,151395
CT,2021-01-13,161875
CT,2021-01-14,171897
CT,2021-01-15,185866
CT,2021-01-19,220820
CT,2021-01-20,243140
CT,2021-01-21,264707
CT,2021-01-22,287440
CT,2021-01-23,306796
CT,2021-01-24,321737
CT,2021-01-25,331264
CT,2021-01-26,342643
CT,2021-01-27,360991
CT,2021-01-28,381160
CT,2021-01-29,403370
CT,2021-01-30,421191
CT,2021-01-31,436842
CT,2021-02-01,449253
CT,2021-02-02,456090
CT,2021-02-03,465008
CT,2021-02-04,481826
CT,2021-02-05,502347
CT,2021-02-06,519400
CT,2021-02-07,533941
CT,2021-02-08,542414
CT,2021-02-09,554322
CT,2021-02-10,574750
CT,2021-02-11,600249
CT,2021-02-12,626678
CT,2021-02-13,654766
CT,2021-02-14,674704
CT,2021-02-16,711142
CT,2021-02-17,738191
CT,2021-02-18,767183
CT,2021-02-20,847820
CT,2021-02-21,860534
CT,2021-02-22,882777
CT,2021-02-23,892882
CT,2021-02-24,912033
CT,2021-02-25,925946
CT,2021-02-26,954153
CT,2021-02-27,980211
CT,2021-02-28,1004467
CT,2021-03-01,1031305
CT,2021-03-02,1040154
CT,2021-03-03,1061375
CT,2021-03-04,1087313
CT,2021-03-05,1121517
CT,2021-03-06,1157114
CT,2021-03-07,1195617
CT,2021-03-08,1228865
CT,2021-03-09,1245687
CT,2021-03-10,1272581
CT,2021-03-11,1304302
CT,2021-03-12,1345350
CT,2021-03-13,1411525
CT,2021-03-14,1411532
CT,2021-03-15,1442439
CT,2021-03-16,1460334
CT,2021-03-17,1483587
CT,2021-03-18,1514945
CT,2021-03-19,1551481
CT,2021-03-20,1586484
CT,2021-03-21,1623090
CT,2021-03-22,1658338
CT,2021-03-23,1676905
DC,2020-12-24,4500
DC,2020-12-30,11370
DC,2021-01-02,15072
DC,2021-01-04,16989
DC,2021-01-06,17475
DC,2021-01-07,19366
DC,2021-01-08,21681
DC,2021-01-11,29228
DC,2021-01-12,29812
DC,2021-01-13,33049
DC,2021-01-14,36679
DC,2021-01-15,39934
DC,2021-01-19,41053
DC,2021-01-20,51733
DC,2021-01-21,55108
DC,2021-01-22,56864
DC,2021-01-23,59793
DC,2021-01-24,62391
DC,2021-01-25,64194
DC,2021-01-26,64748
DC,2021-01-27,68086
DC,2021-01-28,70839
DC,2021-01-29,73328
DC,2021-01-30,76672
DC,2021-01-31,80526
DC,2021-02-01,82519
DC,2021-02-02,83553
DC,2021-02-03,85065
DC,2021-02-04,94095
DC,2021-02-05,98862
DC,2021-02-06,102031
DC,2021-02-07,105819
DC,2021-02-08,108475
DC,2021-02-11,111720
DC,2021-02-12,114110
DC,2021-02-13,116261
DC,2021-02-14,121313
DC,2021-02-16,126500
DC,2021-02-17,128460
DC,2021-02-18,130437
DC,2021-02-20,159640
DC,2021-02-21,162674
DC,2021-02-22,164207
DC,2021-02-23,166724
DC,2021-02-24,170343
DC,2021-02-25,173030
DC,2021-02-26,176044
DC,2021-02-27,184748
DC,2021-02-28,194746
DC,2021-03-01,198047
DC,2021-03-02,199212
DC,2021-03-03,202090
DC,2021-03-04,207421
DC,2021-03-05,211736
DC,2021-03-06,220634
DC,2021-03-07,225875
DC,2021-03-08,230110
DC,2021-03-09,232666
DC,2021-03-10,238189
DC,2021-03-11,244060
DC,2021-03-12,250090
DC,2021-03-13,256529
DC,2021-03-14,264499
DC,2021-03-15,271191
DC,2021-03-16,274424
DC,2021-03-17,281538
DC,2021-03-18,285546
DC,2021-03-19,291022
DC,2021-03-20,296647
DC,2021-03-21,302692
DC,2021-03-22,306996
DC,2021-03-23,309362
DE,2020-12-21,2061
DE,2020-12-22,3872
DE,2020-12-23,4905
DE,2020-12-26,6569
DE,2020-12-27,7200
DE,2020-12-30,9744
DE,2021-01-01,12565
DE,2021-01-02,13080
DE,2021-01-03,14113
DE,2021-01-04,14265
DE,2021-01-05,15460
DE,2021-01-06,17064
DE,2021-01-07,18732
DE,2021-01-08,21814
DE,2021-01-09,23851
DE,2021-01-10,26567
DE,2021-01-11,26707
DE,2021-01-12,26739
DE,2021-01-13,30992
DE,2021-01-14,33883
DE,2021-01-15,36634
DE,2021-01-16,38650
DE,2021-01-17,41309
DE,2021-01-18,43063
DE,2021-01-19,46141
DE,2021-01-20,49873
DE,2021-01-21,54760
DE,2021-01-23,64690
DE,2021-01-24,67475
DE,2021-01-25,68995
DE,2021-01-26,77924
DE,2021-01-27,82699
DE,2021-01-28,87511
DE,2021-01-29,92552
DE,2021-01-30,100678
DE,2021-01-31,103258
DE,2021-02-01,103791
DE,2021-02-02,107597
DE,2021-02-03,110707
DE,2021-02-04,110784
DE,2021-02-05,117662
DE,2021-02-06,122556
DE,2021-02-07,125756
DE,2021-02-08,126650
DE,2021-02-09,127523
DE,2021-02-10,130116
DE,2021-02-11,133370
DE,2021-02-12,136591
DE,2021-02-13,142103
DE,2021-02-14,149830
DE,2021-02-16,154483
DE,2021-02-17,155111
DE,2021-02-18,164518
DE,2021-02-19,169677
DE,2021-02-20,180600
DE,2021-02-21,180940
DE,2021-02-22,183901
DE,2021-02-23,186619
DE,2021-02-24,189836
DE,2021-02-25,195534
DE,2021-02-26,203745
DE,2021-02-27,212739
DE,2021-02-28,219312
DE,2021-03-01,225374
DE,2021-03-02,225417
DE,2021-03-03,237669
DE,2021-03-04,246194
DE,2021-03-05,255036
DE,2021-03-06,264601
DE,2021-03-07,275467
DE,2021-03-08,280674
DE,2021-03-09,285101
DE,2021-03-10,285262
DE,2021-03-11,299695
DE,2021-03-12,307982
DE,2021-03-13,317790
DE,2021-03-15,333896
DE,2021-03-16,338429
DE,2021-03-17,346179
DE,2021-03-18,354571
DE,2021-03-19,362023
DE,2021-03-20,372165
DE,2021-03-21,382342
DE,2021-03-22,389157
FL,2020-12-21,43716
FL,2020-12-22,49932
FL,2020-12-23,68133
FL,2020-12-26,113946
FL,2020-12-27,118764
FL,2020-12-28,122881
FL,2020-12-29,146160
FL,2020-12-30,176729
FL,2021-01-01,211165
FL,2021-01-02,246587
FL,2021-01-03,255808
FL,2021-01-04,264512
FL,2021-01-05,291770
FL,2021-01-06,339032
FL,2021-01-07,402802
FL,2021-01-08,467816
FL,2021-01-09,550157
FL,2021-01-10,596735
FL,2021-01-11,633440
FL,2021-01-12,699587
FL,2021-01-13,768629
FL,2021-01-14,846855
FL,2021-01-15,928869
FL,2021-01-16,1024704
FL,2021-01-17,1099535
FL,2021-01-18,1125053
FL,2021-01-19,1166458
FL,2021-01-20,1239975
FL,2021-01-21,1306983
FL,2021-01-22,1389149
FL,2021-01-23,1489003
FL,2021-01-24,1544794
FL,2021-01-25,1565383
FL,2021-01-26,1622421
FL,2021-01-27,1697849
FL,2021-01-28,1814482
FL,2021-01-29,1879244
FL,2021-01-30,1948148
FL,2021-01-31,1993472
FL,2021-02-01,2036038
FL,2021-02-02,2119968
FL,2021-02-03,2209641
FL,2021-02-04,2320966
FL,2021-02-05,2448711
FL,2021-02-06,2579175
FL,2021-02-07,2661796
FL,2021-02-08,2710156
FL,2021-02-09,2813488
FL,2021-02-10,2933920
FL,2021-02-11,3057652
FL,2021-02-12,3216044
FL,2021-02-13,3351430
